NODE_100011_length_235_cov_2.072340,9606,3
NODE_10002_length_259_cov_2.490347,9606,10
NODE_100023_length_250_cov_2.016000,9606,4
NODE_100024_length_284_cov_1.838028,9606,5
NODE_100033_length_341_cov_1.624633,9606,4
NODE_100036_length_340_cov_1.241176,9606,4
NODE_100045_length_685_cov_1.972263,9606,13
NODE_100048_length_277_cov_2.097473,9606,4
NODE_100061_length_321_cov_1.613707,9606,4
NODE_100064_length_333_cov_1.561562,9606,5
NODE_100070_length_320_cov_2.009375,9606,6
NODE_100080_length_241_cov_1.813278,9606,5
NODE_100086_length_262_cov_1.538168,9606,2
NODE_100089_length_236_cov_2.779661,9606,7
NODE_100093_length_254_cov_3.354331,9606,10
NODE_1001_length_261_cov_1.842912,9606,5
NODE_100112_length_276_cov_4.137681,9606,15
NODE_100114_length_293_cov_1.129693,9606,2
NODE_100117_length_261_cov_1.421456,9606,4
NODE_100120_length_298_cov_1.506711,9606,4
NODE_100126_length_253_cov_2.355731,9606,4
NODE_100130_length_254_cov_1.480315,9606,4
NODE_100132_length_418_cov_2.162679,9606,10
NODE_100147_length_327_cov_1.449541,9606,5
NODE_100149_length_315_cov_2.711111,9606,17
NODE_100150_length_295_cov_2.196610,9606,8
NODE_100157_length_254_cov_1.874016,9606,6
NODE_100163_length_243_cov_1.765432,9606,4
NODE_100178_length_315_cov_2.498413,9606,12
NODE_100199_length_250_cov_1.508000,9606,2
NODE_1002_length_237_cov_1.092827,9606,2
NODE_100200_length_277_cov_1.870036,9606,4
NODE_100202_length_303_cov_2.765676,9606,9
NODE_100205_length_258_cov_3.147287,9606,10
NODE_100207_length_294_cov_2.017007,9606,9
NODE_100212_length_262_cov_1.431298,9606,4
NODE_100223_length_238_cov_1.894958,9606,4
NODE_100224_length_291_cov_2.006873,9606,4
NODE_100234_length_246_cov_1.024390,9606,2
NODE_100242_length_250_cov_2.188000,9606,5
NODE_100243_length_253_cov_1.343874,9606,2
NODE_100255_length_244_cov_1.028689,9606,2
NODE_100261_length_247_cov_1.392713,9606,2
NODE_100276_length_274_cov_1.405110,9606,2
NODE_100296_length_594_cov_3.569024,7962,29
NODE_1003_length_242_cov_1.206612,9606,2
NODE_100302_length_323_cov_3.761610,9606,15
NODE_100311_length_329_cov_1.547112,9606,4
NODE_100313_length_310_cov_1.748387,9606,4
NODE_100314_length_336_cov_1.815476,9606,4
NODE_10032_length_257_cov_1.898833,9606,4
NODE_100321_length_414_cov_1.190821,9606,4
NODE_100322_length_284_cov_2.278169,9606,6
